application/vnd.hzn-3d-crossword,3D Crossword Plugin,.x3d
video/x-ms-asf,Microsoft Advanced Systems Format (ASF),.asf
application/x-msdownload,Microsoft Application,.exe
application/vnd.ms-artgalry,Microsoft Artgalry,.cil
application/vnd.ms-cab-compressed,Microsoft Cabinet File,.cab
application/vnd.ms-ims,Microsoft Class Server,.ims
application/x-ms-application,Microsoft ClickOnce,.application
application/x-msclip,Microsoft Clipboard Clip,.clp
image/vnd.ms-modi,Microsoft Document Imaging Format,.mdi
application/vnd.ms-fontobject,Microsoft Embedded OpenType,.eot
application/vnd.ms-excel,Microsoft Excel,.xls
application/vnd.ms-excel.addin.macroenabled.12,Microsoft Excel - Add-In File,.xlam
application/vnd.ms-excel.sheet.binary.macroenabled.12,Microsoft Excel - Binary Workbook,.xlsb
application/vnd.ms-excel.template.macroenabled.12,Microsoft Excel - Macro-Enabled Template File,.xltm
application/vnd.ms-excel.sheet.macroenabled.12,Microsoft Excel - Macro-Enabled Workbook,.xlsm
application/vnd.ms-htmlhelp,Microsoft Html Help File,.chm
application/x-mscardfile,Microsoft Information Card,.crd
application/vnd.ms-lrm,Microsoft Learning Resource Module,.lrm
application/x-msmediaview,Microsoft MediaView,.mvb
application/x-msmoney,Microsoft Money,.mny
application/vnd.openxmlformats-officedocument.presentationml.presentation,Microsoft Office - OOXML - Presentation,.pptx
application/vnd.openxmlformats-officedocument.presentationml.slide,Microsoft Office - OOXML - Presentation (Slide),.sldx
application/vnd.openxmlformats-officedocument.presentationml.slideshow,Microsoft Office - OOXML - Presentation (Slideshow),.ppsx
application/vnd.openxmlformats-officedocument.presentationml.template,Microsoft Office - OOXML - Presentation Template,.potx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Microsoft Office - OOXML - Spreadsheet,.xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.template,Microsoft Office - OOXML - Spreadsheet Teplate,.xltx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,Microsoft Office - OOXML - Word Document,.docx
application/vnd.openxmlformats-officedocument.wordprocessingml.template,Microsoft Office - OOXML - Word Document Template,.dotx
application/x-msbinder,Microsoft Office Binder,.obd
application/vnd.ms-officetheme,Microsoft Office System Release Theme,.thmx
application/onenote,Microsoft OneNote,.onetoc
audio/vnd.ms-playready.media.pya,Microsoft PlayReady Ecosystem,.pya
video/vnd.ms-playready.media.pyv,Microsoft PlayReady Ecosystem Video,.pyv
application/vnd.ms-powerpoint,Microsoft PowerPoint,.ppt
application/vnd.ms-powerpoint.addin.macroenabled.12,Microsoft PowerPoint - Add-in file,.ppam
application/vnd.ms-powerpoint.slide.macroenabled.12,Microsoft PowerPoint - Macro-Enabled Open XML Slide,.sldm
application/vnd.ms-powerpoint.presentation.macroenabled.12,Microsoft PowerPoint - Macro-Enabled Presentation File,.pptm
application/vnd.ms-powerpoint.slideshow.macroenabled.12,Microsoft PowerPoint - Macro-Enabled Slide Show File,.ppsm
application/vnd.ms-project,Microsoft Project,.mpp
application/x-mspublisher,Microsoft Publisher,.pub
application/x-msschedule,Microsoft Schedule+,.scd
application/x-silverlight-app,Microsoft Silverlight,.xap
application/vnd.ms-pki.stl,Microsoft Trust UI Provider - Certificate Trust Link,.stl
application/vnd.ms-pki.seccat,Microsoft Trust UI Provider - Security Catalog,.cat
application/vnd.visio,Microsoft Visio,.vsd
video/x-ms-wm,Microsoft Windows Media,.wm
audio/x-ms-wma,Microsoft Windows Media Audio,.wma
audio/x-ms-wax,Microsoft Windows Media Audio Redirector,.wax
video/x-ms-wmx,Microsoft Windows Media Audio/Video Playlist,.wmx
application/x-ms-wmd,Microsoft Windows Media Player Download Package,.wmd
application/vnd.ms-wpl,Microsoft Windows Media Player Playlist,.wpl
application/x-ms-wmz,Microsoft Windows Media Player Skin Package,.wmz
video/x-ms-wmv,Microsoft Windows Media Video,.wmv
video/x-ms-wvx,Microsoft Windows Media Video Playlist,.wvx
application/x-msmetafile,Microsoft Windows Metafile,.wmf
application/x-msterminal,Microsoft Windows Terminal Services,.trm
application/msword,Microsoft Word,.doc
application/x-mswrite,Microsoft Wordpad,.wri
application/vnd.ms-works,Microsoft Works,.wps
application/x-ms-xbap,Microsoft XAML Browser Application,.xbap
application/vnd.ms-xpsdocument,Microsoft XML Paper Specification,.xps
audio/midi,MIDI - Musical Instrument Digital Interface,.mid
application/vnd.ibm.minipay,MiniPay,.mpy
application/vnd.ibm.modcap,MO:DCA-P,.afp
application/vnd.jcp.javame.midlet-rms,Mobile Information Device Profile,.rms
application/vnd.tmobile-livetv,MobileTV,.tmo
application/x-mobipocket-ebook,Mobipocket,.prc
application/vnd.mobius.mbk,Mobius Management Systems - Basket file,.mbk
application/vnd.mobius.dis,Mobius Management Systems - Distribution Database,.dis
application/vnd.mobius.plc,Mobius Management Systems - Policy Definition Language File,.plc
application/vnd.mobius.mqy,Mobius Management Systems - Query File,.mqy
application/vnd.mobius.msl,Mobius Management Systems - Script Language,.msl
application/vnd.mobius.txf,Mobius Management Systems - Topic Index File,.txf
application/vnd.mobius.daf,Mobius Management Systems - UniversalArchive,.daf
text/vnd.fly,mod_fly / fly.cgi,.fly
application/vnd.mophun.certificate,Mophun Certificate,.mpc
application/vnd.mophun.application,Mophun VM,.mpn
video/mj2,Motion JPEG 2000,.mj2
audio/mpeg,MPEG Audio,.mpga
video/vnd.mpegurl,MPEG Url,.mxu
video/mpeg,MPEG Video,.mpeg
application/mp21,MPEG-21,.m21
audio/mp4,MPEG-4 Audio,.mp4a
video/mp4,MPEG-4 Video,.mp4
application/mp4,MPEG4,.mp4
application/vnd.apple.mpegurl,Multimedia Playlist Unicode,.m3u8
application/vnd.musician,MUsical Score Interpreted Code Invented for the ASCII designation of Notation,.mus
application/vnd.muvee.style,Muvee Automatic Video Editing,.msty
application/xv+xml,MXML,.mxml
application/vnd.nokia.n-gage.data,N-Gage Game Data,.ngdat
application/vnd.nokia.n-gage.symbian.install,N-Gage Game Installer,.n-gage
application/x-dtbncx+xml,Navigation Control file for XML (for ePub),.ncx
application/x-netcdf,Network Common Data Form (NetCDF),.nc
application/vnd.neurolanguage.nlu,neuroLanguage,.nlu
application/vnd.dna,New Moon Liftoff/DNA,.dna
application/vnd.noblenet-directory,NobleNet Directory,.nnd
application/vnd.noblenet-sealer,NobleNet Sealer,.nns
application/vnd.noblenet-web,NobleNet Web,.nnw
application/vnd.nokia.radio-preset,Nokia Radio Application - Preset,.rpst
application/vnd.nokia.radio-presets,Nokia Radio Application - Preset,.rpss
text/n3,Notation3,.n3
application/vnd.novadigm.edm,Novadigm's RADIA and EDM products,.edm
application/vnd.novadigm.edx,Novadigm's RADIA and EDM products,.edx
application/vnd.novadigm.ext,Novadigm's RADIA and EDM products,.ext
application/vnd.flographit,NpGraphIt,.gph
audio/vnd.nuera.ecelp4800,Nuera ECELP 4800,.ecelp4800
audio/vnd.nuera.ecelp7470,Nuera ECELP 7470,.ecelp7470
audio/vnd.nuera.ecelp9600,Nuera ECELP 9600,.ecelp9600
application/oda,Office Document Architecture,.oda
application/ogg,Ogg,.ogx
audio/ogg,Ogg Audio,.oga
video/ogg,Ogg Video,.ogv
application/vnd.oma.dd2+xml,OMA Download Agents,.dd2
application/vnd.oasis.opendocument.text-web,Open Document Text Web,.oth
application/oebps-package+xml,Open eBook Publication Structure,.opf
application/vnd.intu.qbo,Open Financial Exchange,.qbo
application/vnd.openofficeorg.extension,Open Office Extension,.oxt
application/vnd.yamaha.openscoreformat,Open Score Format,.osf
audio/webm,Open Web Media Project - Audio,.weba
video/webm,Open Web Media Project - Video,.webm
application/vnd.oasis.opendocument.chart,OpenDocument Chart,.odc
application/vnd.oasis.opendocument.chart-template,OpenDocument Chart Template,.otc
application/vnd.oasis.opendocument.database,OpenDocument Database,.odb
application/vnd.oasis.opendocument.formula,OpenDocument Formula,.odf
application/vnd.oasis.opendocument.formula-template,OpenDocument Formula Template,.odft
application/vnd.oasis.opendocument.graphics,OpenDocument Graphics,.odg
application/vnd.oasis.opendocument.graphics-template,OpenDocument Graphics Template,.otg
application/vnd.oasis.opendocument.image,OpenDocument Image,.odi
application/vnd.oasis.opendocument.image-template,OpenDocument Image Template,.oti
application/vnd.oasis.opendocument.presentation,OpenDocument Presentation,.odp
application/vnd.oasis.opendocument.presentation-template,OpenDocument Presentation Template,.otp
application/vnd.oasis.opendocument.spreadsheet,OpenDocument Spreadsheet,.ods
application/vnd.oasis.opendocument.spreadsheet-template,OpenDocument Spreadsheet Template,.ots
application/vnd.oasis.opendocument.text,OpenDocument Text,.odt
application/vnd.oasis.opendocument.text-master,OpenDocument Text Master,.odm
application/vnd.oasis.opendocument.text-template,OpenDocument Text Template,.ott
image/ktx,OpenGL Textures (KTX),.ktx
application/vnd.sun.xml.calc,OpenOffice - Calc (Spreadsheet),.sxc
application/vnd.sun.xml.calc.template,OpenOffice - Calc Template (Spreadsheet),.stc
application/vnd.sun.xml.draw,OpenOffice - Draw (Graphics),.sxd
application/vnd.sun.xml.draw.template,OpenOffice - Draw Template (Graphics),.std
application/vnd.sun.xml.impress,OpenOffice - Impress (Presentation),.sxi
application/vnd.sun.xml.impress.template,OpenOffice - Impress Template (Presentation),.sti
application/vnd.sun.xml.math,OpenOffice - Math (Formula),.sxm
application/vnd.sun.xml.writer,OpenOffice - Writer (Text - HTML),.sxw
application/vnd.sun.xml.writer.global,OpenOffice - Writer (Text - HTML),.sxg
application/vnd.sun.xml.writer.template,OpenOffice - Writer Template (Text - HTML),.stw
application/x-font-otf,OpenType Font File,.otf
application/vnd.yamaha.openscoreformat.osfpvg+xml,OSFPVG,.osfpvg
application/vnd.osgi.dp,OSGi Deployment Package,.dp
application/vnd.palm,PalmOS Data,.pdb
text/x-pascal,Pascal Source File,.p
application/vnd.pawaafile,PawaaFILE,.paw
